Title,Name [corporate] (Contributor),Place of Origin,Date Created,Subject - Topic,Subject - Geographic,Subject - Name [corporate],Subject - Name [family],Abstract (Description),Biographical Information,Contributing Repository
Man on horseback,,Allendale Plantation (La.),circa 1900-1930,Horsemanship--Louisiana--Photographs,Allendale Plantation (La.)--Photographs,,"Kahao (Family : Port Allen, La.)--Photographs",,"Henry Watkins Allen (1820-1866) established the Allendale sugar plantation in West Baton Rouge Parish, Louisiana, in the early 1850s. Allendale Plantation changed hands several times over the years, until 1882, when John and Martin James Kahao purchased the land, buildings, and equipment. The Kahao family successfully operated the plantation for most of the twentieth century, during which time it underwent a change in farming techniques, moving from hand labor and mule cultivation to mechanized farming.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Kahao family having tea on the porch,,Allendale Plantation (La.),circa 1900-1930,Porches--Louisiana--Photographs; Tea (Culture)--Louisiana--Photographs; Household employees--Louisiana--Photographs,Allendale Plantation (La.)--Photographs; Port Allen (La.)--Photographs,,"Kahao (Family : Port Allen, La.)--Photographs",,"Henry Watkins Allen (1820-1866) established the Allendale sugar plantation in West Baton Rouge Parish, Louisiana, in the early 1850s. Allendale Plantation changed hands several times over the years, until 1882, when John and Martin James Kahao purchased the land, buildings, and equipment. The Kahao family successfully operated the plantation for most of the twentieth century, during which time it underwent a change in farming techniques, moving from hand labor and mule cultivation to mechanized farming.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"One time residence of John H. Kahao, 304 Indiana Street, Lawrence, Kansas",,Allendale Plantation (La.),circa 1900-1930,Two-story houses--Kansas--Lawrence--Photographs,Lawrence (Kan.)--Photographs,"Zimmerman House (Lawrence, Kan.)--Photographs","Kahao (Family : Port Allen, La.)--Photographs","The S.T. Zimmerman House was built in Lawrence, Kansas circa 1870 and placed on the National Register of Historic Places on September 6, 1974.","Henry Watkins Allen (1820-1866) established the Allendale sugar plantation in West Baton Rouge Parish, Louisiana, in the early 1850s. Allendale Plantation changed hands several times over the years, until 1882, when John and Martin James Kahao purchased the land, buildings, and equipment. The Kahao family successfully operated the plantation for most of the twentieth century, during which time it underwent a change in farming techniques, moving from hand labor and mule cultivation to mechanized farming.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
African-American immersion baptism in the Mississippi River,,Allendale Plantation (La.),circa 1900-1930,Baptism--Photographs; African Americans--Louisiana--Religion--Photographs,Allendale Plantation (La.)--Photographs.; Mississippi River--Photographs,,,,"Henry Watkins Allen (1820-1866) established the Allendale sugar plantation in West Baton Rouge Parish, Louisiana, in the early 1850s. Allendale Plantation changed hands several times over the years, until 1882, when John and Martin James Kahao purchased the land, buildings, and equipment. The Kahao family successfully operated the plantation for most of the twentieth century, during which time it underwent a change in farming techniques, moving from hand labor and mule cultivation to mechanized farming.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Man and women walking down waterfront dock in Petoskey, Michigan",,Allendale Plantation (La.),circa 1900-1915,Marinas--Michigan--Petoskey--Photographs,"Petoskey (Mich.)--Photographs; Michigan, Lake, Coast (Mich.)--Photographs","Petoskey Rug Company (Petoskey, Mich.)--Photographs","Kahao (Family : Port Allen, La.)--Photographs",The city of Petoskey as seen from waterfront dock on Little Traverse Bay of Lake Michigan. Petoskey Rug Company and the original City Hall building are visible in the background.,"Henry Watkins Allen (1820-1866) established the Allendale sugar plantation in West Baton Rouge Parish, Louisiana, in the early 1850s. Allendale Plantation changed hands several times over the years, until 1882, when John and Martin James Kahao purchased the land, buildings, and equipment. The Kahao family successfully operated the plantation for most of the twentieth century, during which time it underwent a change in farming techniques, moving from hand labor and mule cultivation to mechanized farming.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Property fence at Allendale Plantation ,,Allendale Plantation (La.),circa 1900-1930,Sugar plantations--Louisiana--West Baton Rouge Parish--Photographs,Allendale Plantation (La.)--Photographs; Port Allen (La.)--Photographs,,,,"Henry Watkins Allen (1820-1866) established the Allendale sugar plantation in West Baton Rouge Parish, Louisiana, in the early 1850s. Allendale Plantation changed hands several times over the years, until 1882, when John and Martin James Kahao purchased the land, buildings, and equipment. The Kahao family successfully operated the plantation for most of the twentieth century, during which time it underwent a change in farming techniques, moving from hand labor and mule cultivation to mechanized farming.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Large group photograph taken in front of railroad train,,Allendale Plantation (La.),circa 1900-1930,Railroad trains--Photographs; Women--Photographs; Men--Photographs.; Children--Photographs,,,"Kahao (Family : Port Allen, La.)--Photographs",,"Henry Watkins Allen (1820-1866) established the Allendale sugar plantation in West Baton Rouge Parish, Louisiana, in the early 1850s. Allendale Plantation changed hands several times over the years, until 1882, when John and Martin James Kahao purchased the land, buildings, and equipment. The Kahao family successfully operated the plantation for most of the twentieth century, during which time it underwent a change in farming techniques, moving from hand labor and mule cultivation to mechanized farming.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Man on a horse inspecting crops in the field,,Allendale Plantation (La.),circa 1900-1930,Sugar plantations--Louisiana--West Baton Rouge Parish--Photographs; Horsemanship--Louisiana--Photographs,Allendale Plantation (La.)--Photographs; Port Allen (La.)--Photographs,,"Kahao (Family : Port Allen, La.)--Photographs",,"Henry Watkins Allen (1820-1866) established the Allendale sugar plantation in West Baton Rouge Parish, Louisiana, in the early 1850s. Allendale Plantation changed hands several times over the years, until 1882, when John and Martin James Kahao purchased the land, buildings, and equipment. The Kahao family successfully operated the plantation for most of the twentieth century, during which time it underwent a change in farming techniques, moving from hand labor and mule cultivation to mechanized farming.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
View of tributary or stream in a wooded area,,Allendale Plantation (La.),circa 1900-1930,Landscapes--Louisiana--Photographs,Allendale Plantation (La.)--Photographs; Port Allen (La.)--Photographs,,,,"Henry Watkins Allen (1820-1866) established the Allendale sugar plantation in West Baton Rouge Parish, Louisiana, in the early 1850s. Allendale Plantation changed hands several times over the years, until 1882, when John and Martin James Kahao purchased the land, buildings, and equipment. The Kahao family successfully operated the plantation for most of the twentieth century, during which time it underwent a change in farming techniques, moving from hand labor and mule cultivation to mechanized farming.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Woman standing in stone corridor with archways,,Allendale Plantation (La.),circa 1900-1930,Stone buildings--Photographs; Women--Photographs,,,"Kahao (Family : Port Allen, La.)--Photographs",,"Henry Watkins Allen (1820-1866) established the Allendale sugar plantation in West Baton Rouge Parish, Louisiana, in the early 1850s. Allendale Plantation changed hands several times over the years, until 1882, when John and Martin James Kahao purchased the land, buildings, and equipment. The Kahao family successfully operated the plantation for most of the twentieth century, during which time it underwent a change in farming techniques, moving from hand labor and mule cultivation to mechanized farming.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
